Date,Temperature,Wind_Speed,Rain,Score
2025-07-05,12,3,0,11
2025-07-06,13,2,0,12
2025-07-07,14,3,0,13
2025-07-08,14,3,0,12
2025-07-09,15,5,0,11
2025-07-10,13,5,0,11
